Data	Doy	Tx	Tn	Rs	U2	URx	URn	P	Rn
43435	335	31.68	22.18	11.36	1.19	98.40	54.99	6.10	8.52
43436	336	27.66	22.16	6.28	0.74	99.57	73.24	0.51	4.69
43437	337	26.76	19.97	9.86	0.79	99.70	69.03	6.60	7.63
43438	338	31.80	18.99	24.39	0.85	100.00	54.73	0.25	18.75
43439	339	35.52	19.62	20.19	1.07	100.00	44.09	4.32	15.29
43440	340	30.17	20.45	16.95	0.96	99.67	57.46	1.02	12.87
43441	341	24.73	19.26	5.16	0.75	99.77	80.19	13.72	3.97
43442	342	20.93	17.02	7.48	0.91	99.93	78.65	25.91	5.91
43443	343	28.86	12.12	26.57	0.84	100.00	47.43	0.00	19.74
43444	344	32.98	15.26	25.35	0.85	100.00	43.24	0.00	19.05
43445	345	35.16	17.21	29.31	1.00	99.90	37.67	0.76	22.08
43446	346	37.23	19.68	30.18	1.07	99.97	28.30	0.51	22.97
43447	347	36.41	19.04	24.25	0.86	99.23	36.30	0.00	18.16
43448	348	37.23	19.83	28.35	0.83	99.67	37.80	0.00	21.81
43449	349	37.43	20.39	21.23	0.86	99.70	43.64	24.89	16.14
43450	350	35.34	20.63	19.91	0.95	100.00	54.27	24.64	14.92
43451	351	38.56	21.50	27.84	0.77	100.00	37.73	0.25	21.64
43452	352	38.54	21.42	27.31	1.02	98.40	39.94	0.00	20.90
43453	353	35.23	22.23	21.48	1.00	99.90	54.06	37.08	16.63
43454	354	36.07	21.49	26.74	0.77	100.00	53.39	0.25	20.50
43455	355	34.52	21.62	12.65	1.11	99.77	59.18	16.51	9.07
43456	356	36.78	21.21	24.25	1.07	100.00	48.51	16.51	18.60
43457	357	35.22	21.12	25.51	0.90	100.00	48.33	6.60	19.70
43458	358	30.85	21.73	11.38	0.85	99.80	70.41	56.64	8.56
43459	359	27.95	20.82	11.56	0.74	100.00	67.10	7.11	8.91
43460	360	25.96	21.28	7.45	0.59	99.90	74.64	3.56	5.73
43461	361	27.27	21.02	9.70	0.64	99.90	70.34	23.62	7.40
43462	362	31.27	21.08	18.26	0.78	100.00	64.27	48.77	14.40
43463	363	32.80	19.96	24.48	0.88	100.00	55.58	0.00	18.82
43464	364	33.19	20.40	22.81	0.83	100.00	58.64	12.45	17.47
43465	365	34.48	21.45	22.37	0.90	100.00	57.11	0.76	17.25
